5001	Brand	Kamen Rider
5001	Model	Gaim
5001	Style	Belt
5001	MPN	No. 802
5002	Brand	HOBO INTERNATIONAL
5002	Department	Women 's
5002	Material	LEATHER
5002	Type	Shoulder
5002	Type	Bag
5002	Type	CROSSBODY
5003	Brand	Coach
5003	Model	Peyton
5003	Color	Brown
5003	Color	Tan
5003	Pattern	Signature C
5003	Type	Shoulder
5003	Type	Bag
5003	Type	Tote
5003	Type	Bag
5004	Brand	MZ WALLACE
5004	Model	Metro
5004	Type	tote
5004	Color	gray
5004	Features	quilted
5004	Material	nylon
5004	Type	purse
5005	Department	Women
5005	Accents	Sequins
5005	Type	Backpack
5005	Occasion	Travel
5005	Material	PU
5005	Type	Handbag
5005	Type	Rucksack
5005	Type	Shoulder
5005	Occasion	School
5005	Type	Bag
5006	Brand	Thirty One
5006	Size	Large
5006	Type	Tote
5007	Brand	FENDI
5007	Type	BAG
5007	Type	SHOULDER
5007	Type	BAG
5007	Pattern	ZUCCA
5007	Material	Nylon
5008	Department	Women 's
5008	Type	Shoulder
5008	Type	Cross-Body
5008	Type	Bag
5008	Features	Lightweight
5008	Occasion	Travel Beach Work
5009	Brand	Dooney & Bourke
5009	Color	Black
5009	Pattern	Pebble
5009	Material	Leather
5009	Model	Tammy
5009	Type	Tote
5010	Brand	Gucci
5010	Department	Womens
5010	Model	Indy
5010	Type	Shoulder
5010	Type	Handbag
5010	Color	Brown
5010	Material	Ostrich
5010	Product Line	Bamboo
5010	Accents	Tassel
5011	Type	Purse
5011	Occasion	Evening
5011	Type	Bag
5011	Color	Brown
5011	Material	Stain
5011	Material	Silk
5011	Color	Black
5011	Accents	Bead
5011	Material	Satin
5011	Material	Silk
5011	Features	Lining
5012	Brand	Betseyville
5012	Color	Silver
5012	Accents	Embossed
5012	Pattern	Star
5012	Material	Patent
5012	Type	Crossbody
5012	Type	Shoulder
5012	Type	Satchel
5012	Type	Bag
5013	Model	Carp
5013	Fabric Type	Canvas
5013	Type	Rucksack
5013	Type	Backpack
5014	Brand	I Love Sandford
5014	Model	Somerset
5014	Type	Tote
5014	Type	Bag
5015	Brand	Rutoto
5015	Product Line	ROOTOTE
5015	Brand	Rutoto
5015	Pattern	ROOTOTE
5015	Type	tote
5015	Type	bag
5015	Size	smaller
5015	Department	ladies
5016	Brand	Love Moschino
5016	Color	Black
5016	Fabric Type	Canvas
5016	Accents	Logo Embroidered
5016	Type	Shopping Tote
5017	Material	stone
5017	Type	handbags
5018	Department	Ladies
5018	Brand	Avon
5018	Pattern	Signature Collection
5018	Color	Black
5018	Type	Bag
5019	Color	Dune
5019	Department	Ladies
5019	Type	Handbag
5020	Department	Womens
5020	Accents	Transparent
5020	Color	Clear
5020	Type	Tote
5020	Material	Jelly Candy
5020	Type	Handbag
5020	Season	Summer
5020	Occasion	Beach
5020	Type	Bag
5020	Department	Lady
5021	Color	Multi
5021	Color	Coloured
5021	Material	Pvc
5021	Size	Large
5021	Type	Handbag
5021	Type	Purse
5022	Brand	LAUREL BURCH
5022	Size	Medium
5022	Color	Blue
5022	Type	Shoulder
5022	Type	Tote
5022	Type	Handbag
5022	Fabric Type	Canvas
5022	Type	Bag
5023	Brand	OSPREY
5023	Color	LIGHT
5023	Color	BROWN
5023	Material	LEATHER
5023	Pattern	MOC CROC
5023	Size	MEDIUM
5023	Type	SHOULDER
5023	Type	BAG
5024	Department	Women
5024	Type	Crossbody Shoulder
5024	Type	Bags
5024	Closure	Folded
5024	Handle Style	Front Flap
5024	Brand	AMELIE GALANTI
5024	Size	L
5025	Brand	STERLING
5025	Material	Alligator
5025	Pattern	CROCODILE
5025	Type	BAG
5025	Type	Purse
5025	Type	HANDBAG
5026	Brand	Pelle
5026	Model	Studio Wilsons
5026	Color	Brown
5026	Material	Leather
5026	Pattern	Patchwork
5026	Type	Hobo
5026	Model	Ergo
5026	Type	Shoulder
5026	Type	Bag
5027	Brand	Lino
5027	Material	Cotton
5027	Size	Mini
5027	Type	Tote
5027	Type	Bag
5028	Material	Leather
5028	Department	Womens
5028	Type	Tote
5028	Size	Large
5028	Type	Bag
5028	Measurement, dimension	15.6
5028	Color	Brown
5029	Brand	biba
5029	Size	large
5029	Model	Zola
5029	Type	tote
5029	Type	bag
5030	Brand	Gucci
5030	Model	Soho Disco
5030	Brand	GG
5030	Accents	Logo
5030	Color	Black
5030	Material	Leather
5030	Type	Shoulder
5030	Type	Crossbody
5030	Type	Bag
5031	Size	Big
5031	Country/Region of Manufacture	German
5031	Theme	Luxury
5031	Brand	LIEBESKIND
5031	Type	Shopper
5031	Material	Leather
5031	Type	Tote
5031	Theme	punk steampunk
5031	Color	black
5032	Brand	Donna Sharp
5032	Department	Women 's
5032	Model	Elaina
5032	Type	Bag
5032	Pattern	Royal Paisley
5033	Brand	Boohoo
5033	Department	Womens
5033	Features	Mono Quilt
5033	Type	Belt
5033	Type	Bag
5033	Color	Black
5034	Accents	Shiny
5034	Department	women 's
5034	Type	clutch
5034	Type	handbag
5034	Type	purse
5035	Brand	UNION BAY
5035	Fabric Type	CANVAS
5035	Type	PURSE
5035	Type	WALLET
5035	Handle Style	WRIST STRAP
5036	Brand	Chanel
5036	Accents	Quilted
5036	Material	Calfskin Leather
5036	Color	Gold
5036	Hardware Material	Metal
5036	Handle/Strap Material	Chain
5036	Type	Shoulder
5036	Type	Bag
5036	Color	Blue
5037	Brand	Gucci
5037	Product Line	Bamboo
5037	Type	Hand
5037	Material	Nylon
5037	Style	2 Way
5038	Theme	It 's A Physics Graduate
5038	Occasion	University
5038	Type	Tote
5038	Type	Bag
5039	Brand	K-Carroll
5039	Model	Ann
5039	Type	Square
5039	Type	Tote
5039	Color	Gray
5040	Theme	1920s-Style
5040	Accents	Embroidered Beaded
5040	Occasion	Evening
5040	Type	Bag
5041	Brand	Tory Burch
5041	Size	Large
5041	Type	Tote
5041	Material	Patent
5041	Color	Navy
5042	Brand	Lucky Brand
5042	Model	Shannon
5042	Color	White
5042	Material	Leather
5042	Type	Crossbody
5042	Type	Bag
5043	Brand	Kipling
5043	Model	SUPERTABOO
5043	Size	Medium
5043	Closure	Drawstring
5043	Type	Bag
5044	Brand	Kate Spade
5044	Color	Black
5044	Material	Vinyl
5044	Type	Handbag
5044	Type	Purse
5045	Fabric Type	Crochet
5045	Color	Ivory
5045	Color	White
5045	Material	Lace
5045	Color	Brown
5045	Material	Faux Leather
5045	Type	Shoulder
5045	Type	Bag
5045	Type	Purse
5045	Type	Satchel
5046	Theme	Rock Heavy Punk Metal Music
5046	Theme	Guitar
5046	Features	Eco Friendly
5046	Type	Tote
5046	Type	Bag
5046	Type	Shopping
5047	Brand	TORY BURCH York
5047	Size	LARGE
5047	Color	CAMEL
5047	Color	BROWN
5047	Pattern	CROSS-GRAIN
5047	Material	LEATHER
5047	Type	TOTE
5047	Type	SHOULDER
5047	Type	BAG
5047	Type	CARRYALL
5048	Brand	Louis Vuitton
